,DataSetName,SiteName,SiteCode,SiteId,Latitude,Longitude,DATUM,PEARSEDA,SiteType
0,Lab2020eDNA,Trout River,TRR,TRR20-1-N, , ,,,
1,Lab2020eDNA,Trout River,TRR,TRR20-1-L,51.64125999,-56.72186201,,,
2,Lab2020eDNA,Trout River,TRR,TRR20-1-C,51.64134096,-56.721919,,,
3,Lab2020eDNA,Trout River,TRR,TRR20-1-R,51.64133501,-56.72191003,,,
4,Lab2020eDNA,Gilbert River,GIR,GIR20-1-N, , ,,,
5,Lab2020eDNA,Gilbert River,GIR,GIR20-1-L,52.71115403,-56.32917202,,,
6,Lab2020eDNA,Gilbert River,GIR,GIR20-1-C,52.71099402,-56.329427,,,
7,Lab2020eDNA,Gilbert River,GIR,GIR20-1-R,52.71107197,-56.32894898,,,
8,Lab2020eDNA,Shinny's Brook,SBK,SBK20-1-N, , ,,,
9,Lab2020eDNA,Shinny's Brook,SBK,SBK20-1-L,52.63240898,-56.42031399,,,
10,Lab2020eDNA,Shinny's Brook,SBK,SBK20-1-C,52.63246698,-56.42040996,,,
11,Lab2020eDNA,Shinny's Brook,SBK,SBK20-1-R,52.63253404,-56.42031399,,,
12,Lab2020eDNA,Shinny's Brook (Dam),SBB,SBB20-2-N, , ,,,
13,Lab2020eDNA,Shinny's Brook (Dam),SBB,SBB20-2-L,52.632758,-56.421982,,,
14,Lab2020eDNA,Shinny's Brook (Dam),SBB,SBB20-2-C,52.632709,-56.421914,,,
15,Lab2020eDNA,Shinny's Brook (Dam),SBB,SBB20-2-R,52.632758,-56.421902,,,
16,Lab2020eDNA,St. Charle's River,STC,STC20-1-L,52.23042204,-55.85540003,,,
17,Lab2020eDNA,St. Charle's River,STC,STC20-1-C,52.23037996,-55.85577697,,,
18,Lab2020eDNA,St. Charle's River,STC,STC20-1-R,52.23069596,-55.85549802,,,
19,Lab2020eDNA,St. Charle's River,STC,STC20-1-N, , ,,,
20,Lab2020eDNA,St.Charle's River (Dam),STB,STB20-2-L,,,,,
21,Lab2020eDNA,St.Charle's River (Dam),STB,STB20-2-C,,,,,
22,Lab2020eDNA,St.Charle's River (Dam),STB,STB20-2-R,52.23090903,-55.85541202,,,
23,Lab2020eDNA,St.Charle's River (Dam),STB,STB20-2-N, , ,,,
24,Lab2020eDNA,Muddy Bay Brook,MDB,MDB20-1-L,53.61685999,-57.03806897,,,
25,Lab2020eDNA,Muddy Bay Brook,MDB,MDB20-1-C,53.61623897,-57.03702098,,,
26,Lab2020eDNA,Muddy Bay Brook,MDB,MDB20-1-R,53.61678103,-57.03821599,,,
27,Lab2020eDNA,Muddy Bay Brook,MDB,MDB20-1-N, , ,,,
28,Lab2020eDNA,Southwest Brook,SWB,SWB20-1-L,53.42221401,-57.23552196,,,
29,Lab2020eDNA,Southwest Brook,SWB,SWB20-1-C,53.422184,-57.23534997,,,
30,Lab2020eDNA,Southwest Brook,SWB,SWB20-1-R,53.42206799,-57.23561802,,,
31,Lab2020eDNA,Southwest Brook,SWB,SWB20-1-N, , ,,,
32,Lab2020eDNA,St. Mary's River,SMR,SMR20-1-L,52.30534896,-55.83975898,,,
33,Lab2020eDNA,St. Mary's River,SMR,SMR20-1-C,52.30569203,-55.83978396,,,
34,Lab2020eDNA,St. Mary's River,SMR,SMR20-1-R,52.30566303,-55.83927903,,,
