,segment_id,river_name
0,02YL000-25373,Whites-River
1,02YL000-25374,South-Brook
2,02YL000-25375,East-Adies-River
3,02YL000-25376,North-Arm-Brook
4,02YL000-25377,Hughes-Brook
5,02YL000-25378,Rattler-Brook
6,02YL000-25379,Steady-Brook
7,02YL000-25380,Lower-Crabb-Brook
8,02YL000-25381,Liverpool-Brook
9,02YL000-25382,Beaver-Brook
10,02YL000-25383,Black-Brook
11,02YL000-25384,Whites-River
12,02YL000-25385,Lower-Crabb-Brook
13,02YL000-25386,Pynns-Brook
14,02YL000-25387,Lower-Crabb-Brook
15,02YL000-25388,Upper-Humber-River
16,02YL000-25389,Barachois-Brook
17,02YL000-25390,Hughes-Brook
18,02YL000-25391,Upper-Humber-River
19,02YL000-25392,North-Brook
20,02YL000-25393,Coal-Brook
21,02YL000-25394,Upper-Humber-River
22,02YL000-25395,East-Branch
23,02YL000-25396,Whites-River
24,02YL000-25397,Rocky-Brook
25,02YL000-25398,West-Branch
26,02YL000-25399,Black-Brook
27,02YL000-25400,Gillams-Brook
28,02YL000-25401,Lower-Crabb-Brook
29,02YL000-25402,Corner-Brook
30,02YL000-25403,Parsons-Brook
31,02YL000-25404,Black-Brook
32,02YL000-25405,Corner-Brook
33,02YL000-25406,Upper-Humber-River
34,02YL000-25407,Bakers-Brook
35,02YL000-25408,Carp-Creek
36,02YL000-25409,Transmission-Brook
37,02YL000-25410,Upper-Humber-River
38,02YL000-25411,Cooks-Brook
39,02YL000-25412,East-Adies-River
40,02YL000-25413,East-Adies-River
41,02YL000-25414,East-Branch
42,02YL000-25415,Rocky-Brook
43,02YL000-25416,Goose-Arm-Brook
44,02YL000-25417,Whites-River
45,02YL000-25418,Adies-River
46,02YL000-25419,Whites-River
47,02YL000-25420,Upper-Humber-River
48,02YL000-25421,Coal-Brook
49,02YL000-25422,Lower-Crabb-Brook
50,02YL000-25423,Goose-Arm-Brook
51,02YL000-25424,Northeast-Adies-River
52,02YL000-25425,East-Adies-River
53,02YL000-25426,Upper-Humber-River
54,02YL000-25427,North-Brook
55,02YL000-25428,Black-Brook
56,02YL000-25429,Wigwam-Brook
57,02YL000-25430,Black-Brook
58,02YL000-25431,Lower-Crabb-Brook
59,02YL000-25432,Upper-Humber-River
60,02YL000-25433,Whites-River
61,02YL000-25434,Adies-River
62,02YL000-25435,Lower-Crabb-Brook
63,02YL000-25436,East-Branch
64,02YL000-25437,Black-Brook
65,02YL000-25438,Corner-Brook
66,02YL000-25439,Old-Mans-Brook
67,02YL000-25440,North-Arm-Brook
68,02YL000-25441,Drill-Hole-Brook
69,02YL000-25442,Liverpool-Brook
70,02YL000-25443,Whites-River
71,02YL000-25444,Upper-Humber-River
72,02YL000-25445,Cooks-Brook
73,02YL000-25446,Taylors-Brook
74,02YL000-25447,Hughes-Brook
75,02YL000-25448,Goose-Arm-Brook
76,02YL000-25449,Upper-Humber-River
77,02YL000-25450,Goose-Arm-Brook-North
78,02YL000-25451,Whites-River
79,02YL000-25452,Upper-Humber-River
80,02YL000-25453,Humber-River
81,02YL000-25454,Upper-Humber-River
82,02YL000-25455,Upper-Humber-River
83,02YL000-25456,Gales-Brook
84,02YL000-25457,Crooked-Feeder
85,02YL000-25458,Monkey-Brook
86,02YL000-25459,Upper-Humber-River
87,02YL000-25460,Beaver-Brook
88,02YL000-25461,Northeast-Adies-River
89,02YL000-25462,Cox's-Brook
90,02YL000-25463,Humber-River
91,02YL000-25464,Nichols-Brook
92,02YL000-25465,Big-Feeder-Brook
93,02YL000-25466,South-Brook
94,02YL000-25467,Blow-Me-Down-Brook
95,02YL000-25468,Upper-Humber-River
96,02YL000-25469,Upper-Humber-River
97,02YL000-25470,Upper-Humber-River
98,02YL000-25471,North-Brook
99,02YL000-25472,Liverpool-Brook
100,02YL000-25473,Lower-Crabb-Brook
101,02YL000-25474,Little-Falls-Brook
102,02YL000-25475,Humber-River
103,02YL000-25476,Stowbregs-Brook
104,02YL000-25477,Upper-Humber-River
105,02YL000-25478,Little-North-Brook
106,02YL000-25479,Whites-River
107,02YL000-25480,Pratts-Brook
108,02YL000-25481,Deadwater-Brook
109,02YL000-25482,Matthews-Brook
110,02YL000-25483,Mine-Brook
111,02YL000-25484,Black-Gulch-Brook
112,02YL000-25485,Middle-Branch
113,02YL000-25486,East-Adies-River
114,02YL000-25487,South-Brook
115,02YL000-25488,Whites-River
116,02YL000-25489,Hughes-Brook
117,02YL000-25490,Whites-River
118,02YL000-25491,Ninety-Brook
119,02YL000-25492,Humber-River
120,02YL000-25493,Rocky-Brook
121,02YL000-25494,Humber-River
122,02YL000-25495,Blow-Me-Down-Brook
123,02YL000-25496,Barachois-Brook
124,02YL000-25497,Liverpool-Brook
125,02YL000-25498,Whites-River
126,02YL000-25499,Upper-Humber-River
127,02YL000-25500,Irishtown-Brook
128,02YL000-25501,Goose-Arm-Brook
129,02YL000-25502,Pratts-Brook
130,02YL000-25503,East-Branch
131,02YL000-25504,East-Adies-River
132,02YL000-25505,North-Arm-Brook
133,02YL000-25506,Whites-River
134,02YL000-25507,Upper-Humber-River
135,02YL000-25508,North-Brook
136,02YL000-25509,Duncan-Brook
137,02YL000-25510,Upper-Humber-River
138,02YL000-25511,Hughes-Brook
139,02YL000-25512,Upper-Humber-River
140,02YL000-25513,Beaver-Brook
141,02YL000-25514,Whites-River
142,02YL000-25515,Whites-River
143,02YL000-25516,Gillams-Brook
144,02YL000-25517,Black-Brook
145,02YL000-25518,Rocky-Brook
146,02YL000-25519,Clarkes-Brook-West-Branch
147,02YL000-25520,Upper-Humber-River
148,02YL000-25521,Whites-River
149,02YL000-25522,Taylors-Brook
150,02YL000-25523,Upper-Humber-River
151,02YL000-25524,Upper-Humber-River
152,02YL000-25525,Deadwater-Brook
153,02YL000-25526,Whites-River
154,02YL000-25527,Upper-Humber-River
155,02YL000-25528,Upper-Humber-River
156,02YL000-25529,Crooked-Feeder
157,02YL000-25530,Northeast-Adies-River
158,02YL000-25531,Taylors-Brook
159,02YL000-25532,South-Brook
160,02YL000-25533,Coal-Brook
161,02YL000-25534,Goose-Arm-Brook-North
162,02YL000-25535,Northeast-Adies-River
163,02YL000-25536,East-Adies-River
164,02YL000-25537,Taylors-Brook
165,02YL000-25538,North-Arm-Brook
166,02YL000-25539,Northeast-Adies-River
167,02YL000-25540,Upper-Humber-River
168,02YL000-25541,Adies-River
169,02YL000-25542,Cooks-Brook
170,02YL000-25543,Rocky-Brook
171,02YL000-25544,Upper-Humber-River
172,02YL000-25545,Gillams-Brook
173,02YL000-25546,Upper-Humber-River
174,02YL000-25547,Ninth-Brook
175,02YL000-25548,Penguin-Arm-Brook
176,02YL000-25549,Little-North-Brook
177,02YL000-25550,Upper-Humber-River
178,02YL000-25551,East-Branch
179,02YL000-25552,Wigwam-Brook
180,02YL000-25553,Crooked-Feeder
181,02YL000-25554,Crooked-Feeder
182,02YL000-25555,Goose-Arm-Brook
183,02YL000-25556,Black-Brook
184,02YL000-25557,Lower-Crabb-Brook
185,02YL000-25558,Big-Falls-Brook
186,02YL000-25559,Liverpool-Brook
187,02YL000-25560,North-Arm-Brook
188,02YL000-25561,Burnt-Hill-Brook
189,02YL000-25562,Crooked-Feeder
190,02YL000-25563,Trout-Creek
191,02YL000-25564,Humber-River
192,02YL000-25565,Whites-River
193,02YL000-25566,Upper-Humber-River
194,02YL000-25567,Salmon-Creek
195,02YL000-25568,North-Arm-Brook
196,02YL000-25569,Deadwater-Brook
197,02YL000-25570,Upper-Humber-River
198,02YL000-25571,Crooked-Brook
199,02YL000-25572,Corner-Brook
200,02YL000-25573,Whites-River
201,02YL000-25574,Neds-Steady
202,02YL000-25575,Upper-Humber-River
203,02YL000-25576,Clarks-Brook
204,02YL000-25577,Corner-Brook
205,02YL000-25578,Middle-Branch
206,02YL000-25579,Gillams-Brook
207,02YL000-25580,Monkey-Brook
208,02YL000-25581,South-Brook
209,02YL000-25582,Upper-Humber-River
210,02YL000-25583,Big-Tenth-Brook
211,02YL000-25584,Goose-Arm-Brook-North
212,02YL000-25585,Middle-Branch
213,02YL000-25586,Upper-Humber-River
214,02YL000-25587,East-Adies-River
215,02YL000-25588,Rocky-Brook
216,02YL000-25589,Crooked-Feeder
217,02YL000-25590,Upper-Humber-River
218,02YL000-25591,Goose-Arm-Brook
219,02YL000-25592,Burnt-Hill-Brook
220,02YL000-25593,Adies-River
221,02YL000-25594,Gales-Brook
222,02YL000-25595,Gales-Brook
223,02YL000-25596,Adies-River
224,02YL000-25597,Taylors-Brook
225,02YL000-25598,Upper-Humber-River
226,02YL000-25599,Upper-Humber-River
227,02YL000-25600,West-Branch
228,02YL000-25601,Beaver-Brook
229,02YL000-25602,Lower-Crabb-Brook
230,02YL000-25603,Wild-Cove-Brook
231,02YL000-25604,Northeast-Adies-River
232,02YL000-25605,Upper-Humber-River
233,02YL000-25606,Upper-Humber-River
