segment_id_first,segment_id_second
02YL000-0,02YL000-11665
02YL000-1,02YL000-18730
02YL000-2,02YL000-27312
02YL000-3,02YL000-7666
02YL000-4,02YL000-12317
02YL000-5,02YL000-2170
02YL000-6,02YL000-11372
02YL000-6,02YL000-19976
02YL000-7,02YL000-10489
02YL000-8,02YL000-2409
02YL000-9,02YL000-3160
02YL000-10,02YL000-14874
02YL000-11,02YL000-15391
02YL000-12,02YL000-8099
02YL000-13,02YL000-25286
02YL000-14,02YL000-13371
02YL000-15,02YL000-1699
02YL000-16,02YL000-16048
02YL000-17,02YL000-783
02YL000-18,02YL000-16246
02YL000-19,02YL000-8517
02YL000-20,02YL000-17799
02YL000-20,02YL000-23515
02YL000-21,02YL000-20210
02YL000-22,02YL000-16676
02YL000-23,02YL000-16735
02YL000-23,02YL000-19438
02YL000-24,02YL000-9900
02YL000-25,02YL000-18807
02YL000-26,02YL000-21234
02YL000-27,02YL000-24346
02YL000-28,02YL000-21697
02YL000-29,
02YL000-30,02YL000-26832
02YL000-31,02YL000-8062
02YL000-32,02YL000-1300
02YL000-33,
02YL000-34,02YL000-7496
02YL000-35,02YL000-6615
02YL000-36,02YL000-14598
02YL000-37,02YL000-25008
02YL000-38,02YL000-1635
02YL000-39,02YL000-17824
02YL000-40,02YL000-26521
02YL000-41,02YL000-2173
02YL000-42,02YL000-3227
02YL000-43,02YL000-25494
02YL000-44,02YL000-15222
02YL000-45,02YL000-17111
02YL000-46,02YL000-24139
02YL000-47,02YL000-7980
02YL000-48,02YL000-12347
02YL000-49,02YL000-15769
02YL000-50,02YL000-1408
02YL000-51,02YL000-11063
02YL000-52,02YL000-9424
02YL000-53,02YL000-9424
02YL000-54,02YL000-14841
02YL000-55,02YL000-13809
02YL000-56,02YL000-10846
02YL000-57,02YL000-13865
02YL000-58,02YL000-16890
02YL000-59,02YL000-9736
02YL000-60,02YL000-16514
02YL000-61,02YL000-13335
02YL000-62,02YL000-23788
02YL000-63,02YL000-12572
02YL000-64,02YL000-9974
02YL000-65,02YL000-1544
02YL000-66,02YL000-6129
02YL000-67,02YL000-3243
02YL000-68,02YL000-15628
02YL000-69,02YL000-4045
02YL000-70,02YL000-7129
02YL000-71,02YL000-7390
02YL000-72,02YL000-15284
02YL000-73,02YL000-14266
02YL000-74,02YL000-8476
02YL000-75,02YL000-25266
02YL000-76,02YL000-9677
02YL000-77,02YL000-18915
02YL000-78,02YL000-8697
02YL000-79,02YL000-15609
02YL000-80,
02YL000-81,02YL000-21588
02YL000-82,02YL000-9742
02YL000-83,02YL000-10159
02YL000-83,02YL000-24463
02YL000-84,02YL000-7597
02YL000-85,02YL000-9897
02YL000-86,02YL000-15144
02YL000-87,02YL000-18936
02YL000-88,
02YL000-89,02YL000-6683
02YL000-90,02YL000-22517
02YL000-91,02YL000-16794
02YL000-92,02YL000-21880
02YL000-93,02YL000-10607
02YL000-94,02YL000-8966
02YL000-95,02YL000-12337
02YL000-96,02YL000-6745
02YL000-97,02YL000-426
02YL000-97,02YL000-23128
02YL000-98,02YL000-25152
02YL000-99,02YL000-19823
02YL000-100,02YL000-26820
02YL000-101,02YL000-19813
02YL000-102,02YL000-741
02YL000-103,02YL000-7205
02YL000-104,02YL000-27065
02YL000-105,02YL000-23666
02YL000-106,02YL000-11707
02YL000-107,02YL000-12707
02YL000-108,02YL000-21374
02YL000-109,02YL000-18114
02YL000-110,02YL000-9650
02YL000-111,02YL000-12626
02YL000-112,02YL000-3582
02YL000-113,
02YL000-114,02YL000-20324
02YL000-115,02YL000-19831
02YL000-116,02YL000-23134
02YL000-117,02YL000-10220
02YL000-118,02YL000-2930
02YL000-119,02YL000-12829
02YL000-120,02YL000-22840
02YL000-121,02YL000-8746
02YL000-122,02YL000-17638
02YL000-123,02YL000-227
02YL000-124,02YL000-625
02YL000-125,02YL000-18820
02YL000-126,02YL000-24790
02YL000-127,02YL000-19879
02YL000-128,02YL000-4820
02YL000-129,02YL000-22014
02YL000-130,02YL000-3620
02YL000-131,02YL000-26768
02YL000-132,02YL000-18122
02YL000-133,02YL000-4684
02YL000-134,02YL000-23883
02YL000-135,02YL000-18391
02YL000-136,02YL000-22768
02YL000-137,02YL000-16199
02YL000-138,02YL000-22571
02YL000-139,02YL000-7721
02YL000-140,02YL000-19049
02YL000-141,02YL000-1237
02YL000-142,02YL000-3575
02YL000-143,02YL000-13455
02YL000-144,02YL000-16723
02YL000-145,02YL000-20303
02YL000-146,02YL000-25981
02YL000-147,02YL000-23190
02YL000-148,
02YL000-149,02YL000-11958
02YL000-150,
02YL000-151,02YL000-436
02YL000-152,
02YL000-153,02YL000-3857
02YL000-154,02YL000-12124
02YL000-155,02YL000-14543
02YL000-156,02YL000-9578
02YL000-157,02YL000-9030
02YL000-158,
02YL000-159,02YL000-27391
02YL000-160,02YL000-6787
02YL000-161,02YL000-10076
02YL000-162,02YL000-11494
02YL000-163,
02YL000-164,02YL000-8628
02YL000-165,02YL000-8330
02YL000-166,02YL000-12674
02YL000-167,02YL000-9784
02YL000-168,02YL000-11422
02YL000-169,02YL000-21933
02YL000-170,02YL000-169
02YL000-171,02YL000-5578
02YL000-172,02YL000-7713
02YL000-173,02YL000-5201
02YL000-174,02YL000-26530
02YL000-175,02YL000-18538
02YL000-176,
02YL000-177,02YL000-22894
02YL000-178,02YL000-10257
02YL000-179,02YL000-16640
02YL000-180,02YL000-25415
02YL000-181,
02YL000-182,02YL000-20976
02YL000-183,02YL000-21346
02YL000-184,02YL000-20631
02YL000-185,02YL000-14077
02YL000-186,02YL000-4317
02YL000-187,02YL000-24477
02YL000-188,02YL000-6549
02YL000-189,02YL000-19488
02YL000-190,02YL000-4342
02YL000-191,02YL000-16044
02YL000-192,02YL000-6207
02YL000-193,02YL000-18799
02YL000-194,02YL000-26253
02YL000-195,02YL000-3648
02YL000-196,02YL000-17515
02YL000-197,02YL000-5797
02YL000-198,02YL000-11743
02YL000-199,02YL000-8606
02YL000-200,02YL000-9739
02YL000-201,02YL000-27036
02YL000-202,02YL000-24959
02YL000-203,02YL000-17591
02YL000-204,02YL000-13520
02YL000-205,02YL000-1328
02YL000-206,02YL000-18886
02YL000-207,02YL000-10785
02YL000-208,02YL000-17301
02YL000-209,02YL000-6832
02YL000-210,02YL000-18655
02YL000-211,02YL000-23812
02YL000-212,02YL000-10385
02YL000-213,02YL000-9307
02YL000-214,
02YL000-215,02YL000-13919
02YL000-216,02YL000-19804
02YL000-217,02YL000-293
02YL000-217,02YL000-7122
02YL000-218,02YL000-11512
02YL000-219,02YL000-21877
02YL000-220,02YL000-2860
02YL000-221,02YL000-8253
02YL000-222,02YL000-18137
02YL000-223,02YL000-26194
02YL000-224,02YL000-10806
02YL000-225,02YL000-4187
