,geometry,junction_id,lon,lat
0,"(-57.2097977, 49.464558)",02YL000-0,-57.2097977,49.464558
1,"(-57.5601001, 49.5342086)",02YL000-1,-57.5601001,49.5342086
2,"(-57.6564862, 48.9742214)",02YL000-2,-57.6564862,48.9742214
3,"(-57.6569614, 49.6810435)",02YL000-3,-57.6569614,49.6810435
4,"(-57.5447526, 49.5151011)",02YL000-4,-57.5447526,49.5151011
5,"(-57.4732304, 49.6199669)",02YL000-5,-57.4732304,49.6199669
6,"(-57.4008795, 49.4432119)",02YL000-6,-57.4008795,49.4432119
7,"(-57.279905, 49.5139892)",02YL000-7,-57.279905,49.5139892
8,"(-57.7962704, 48.9219692)",02YL000-8,-57.7962704,48.9219692
9,"(-56.9706565, 49.6287628)",02YL000-9,-56.9706565,49.6287628
10,"(-57.3722538, 49.3379528)",02YL000-10,-57.3722538,49.3379528
11,"(-57.5273509, 49.5118866)",02YL000-11,-57.5273509,49.5118866
12,"(-57.6285878, 49.694003)",02YL000-12,-57.6285878,49.694003
13,"(-57.7458232, 49.2775064)",02YL000-13,-57.7458232,49.2775064
14,"(-57.4338587, 49.6473348)",02YL000-14,-57.4338587,49.6473348
15,"(-57.0411421, 49.6785787)",02YL000-15,-57.0411421,49.6785787
16,"(-57.1257586, 49.4468416)",02YL000-16,-57.1257586,49.4468416
17,"(-57.4598545, 49.714153)",02YL000-17,-57.4598545,49.714153
18,"(-57.4993739, 49.1004671)",02YL000-18,-57.4993739,49.1004671
19,"(-57.2957838, 49.546569)",02YL000-19,-57.2957838,49.546569
20,"(-57.7902655, 48.8835858)",02YL000-20,-57.7902655,48.8835858
21,"(-57.2406318, 49.4032621)",02YL000-21,-57.2406318,49.4032621
22,"(-57.1908906, 49.280151)",02YL000-22,-57.1908906,49.280151
23,"(-57.59912, 49.6377648)",02YL000-23,-57.59912,49.6377648
24,"(-57.2485016, 49.6499859)",02YL000-24,-57.2485016,49.6499859
