,CrossingId,Fish Spp
0,BSGS1,Trout
1,BSGS2,Trout
2,BSGS3,Trout
3,BSGS3,Salmon
4,BSGS4,Trout
5,BSGS4,Salmon
6,BSGS5,Trout
7,BSGS5,Salmon
8,BSGS6,Trout
9,BSGS6,Salmon
10,BSGS7,Trout
11,BSGS7,Salmon
12,BSGS8,Trout
13,BSGS9,Trout
14,BSGS9,Salmon
15,BSGS10,Trout
16,BSGS11,Trout
17,BSGS11,Salmon
18,BSGS12,Trout
19,BSGS12,Salmon
20,ERMA1,Salmon
21,ERMA2,Trout
22,ERMA2,Salmon
23,ERMA3,Trout
24,ERMA3,Salmon
25,ERMA4,Salmon
26,ERMA5,Salmon
27,ERMA6,Salmon
28,ERMA7,Trout
29,ERMA7,Salmon
30,ERMA8,Trout
31,ERMA8,Salmon
32,ERMA9,Salmon
33,ERMA10,Trout
34,ERMA10,Salmon
35,ERMA11,Trout
36,ERMA11,Salmon
37,ERMA12,Salmon
38,ERMA13,Salmon
39,ERMA14,Salmon
40,ERMA15,Salmon
41,ERMA16,Trout
42,ERMA16,Salmon
43,ERMA17,Salmon
44,FABEC1,Trout
45,FABEC1,Salmon
46,FABEC2,Trout
47,FABEC2,Salmon
48,FABEC3,Trout
49,FABEC3,Salmon
50,FABEC4,Trout
51,FABEC5,Trout
52,FABEC6,Trout
53,FABEC7,Trout
54,FABEC8,Trout
55,FABEC9,Trout
56,FABEC10,Trout
57,FABEC11,Trout
58,FABEC12,Trout
59,FABEC13,Trout
60,FABEC14,Trout
61,FABEC15,Trout
62,FABEC16,Trout
63,FABEC17,Trout
64,FABEC18,Trout
65,FABEC19,Trout
66,FABEC20,Trout
67,FABEC20,Salmon
68,FABEC21,Trout
69,FABEC22,Trout
70,FABEC22,Salmon
71,FABEC23,Trout
72,FABEC24,Trout
73,FABEC25,Trout
74,FABEC25,Salmon
75,FABEC26,Trout
76,FABEC26,Salmon
77,FABEC27,Trout
78,FABEC28,Trout
79,FABEC29,Trout
80,FABEC29,Salmon
81,FABEC30,Trout
82,FABEC31,Trout
83,FABEC32,Trout
84,FABEC33,Trout
85,FABEC33,Salmon
86,FABEC34,Trout
87,FABEC35,Trout
88,FABEC36,Trout
89,FABEC37,Trout
90,FABEC38,Trout
91,FABEC38,Salmon
92,FABEC39,Trout
93,FABEC40,Trout
94,FABEC41,Trout
95,FABEC42,Trout
96,FABEC43,Trout
97,FABEC44,Trout
98,FABEC45,Trout
99,FABEC46,Trout
100,FABEC46,Salmon
101,FABEC47,Trout
102,FABEC48,Trout
103,FABEC48,Salmon
104,FABEC49,Trout
105,FABEC50,Trout
106,FABEC51,Trout
107,FABEC51,Salmon
108,FABEC52,Trout
109,FABEC52,Salmon
110,FABEC53,Trout
111,FABEC53,Salmon
112,FABEC54,Trout
113,FABEC54,Salmon
114,FABEC55,Trout
115,FABEC56,Trout
116,FABEC57,Trout
117,GBIBC1,Trout
118,GBIBC2,Trout
119,GBIBC2,Parr
120,GBIBC3,Trout
121,GBIBC3,Salmon
122,GBIBC4,Trout
123,GBIBC5,Trout
124,GBIBC6,Trout
125,GBIBC9,Trout
126,GBIBC9,Parr
127,GBIBC10,Trout
128,GBIBC11,Trout
129,GBIBC12,Trout
130,GBIBC14,Trout
131,GBIBC15,Trout
132,Glenwood FN1,Trout
133,Glenwood FN2,Trout
134,Glenwood FN3,Trout
135,Glenwood FN4,Trout
136,Glenwood FN5,Trout
137,Glenwood FN6,Trout
138,Glenwood FN7,Trout
139,Glenwood FN8,Trout
140,Glenwood FN8,Salmon
141,Glenwood FN9,Trout
142,Glenwood FN9,Salmon
143,Glenwood FN10,Trout
144,Glenwood FN10,Salmon
145,Glenwood FN11,Trout
146,Glenwood FN11,Salmon
147,Glenwood FN12,Trout
148,Glenwood FN12,Salmon
149,Glenwood FN13,Trout
150,Glenwood FN14,Trout
151,Glenwood FN15,Trout
152,Glenwood FN16,Trout
153,Glenwood FN17,Trout
154,Glenwood FN18,Trout
155,Glenwood FN19,Trout
156,Glenwood FN20,Trout
157,Glenwood FN21,Trout
158,Glenwood FN22,Trout
159,Glenwood FN23,Trout
160,Glenwood FN24,Trout
161,Glenwood FN25,Trout
162,Glenwood FN26,Trout
163,Glenwood FN27,Trout
164,Glenwood FN28,Trout
165,Glenwood FN29,Trout
166,Glenwood FN30,Trout
167,Glenwood FN31,Trout
168,Glenwood FN32,Trout
169,Glenwood FN33,Trout
170,Glenwood FN34,Trout
171,Glenwood FN35,Trout
172,Glenwood FN36,Trout
173,Glenwood FN37,Trout
174,Glenwood FN38,Trout
175,Glenwood FN39,Trout
176,Glenwood FN40,Trout
177,Glenwood FN41,Trout
178,Glenwood FN42,Trout
179,Glenwood FN43,Trout
180,Glenwood FN44,Trout
181,Glenwood FN45,Trout
182,Glenwood FN47,Trout
183,Glenwood FN48,Trout
184,Glenwood FN48,Salmon
185,Glenwood FN49,Trout
186,Glenwood FN50,Trout
187,Glenwood FN51,Trout
188,Glenwood FN52,Trout
189,Glenwood FN53,Trout
190,Glenwood FN54,Trout
191,Glenwood FN55,Trout
192,Glenwood FN56,Trout
193,Glenwood FN57,Trout
194,Glenwood FN58,Trout
195,Glenwood FN59,Trout
196,Glenwood FN60,Trout
197,Glenwood FN61,Trout
198,Glenwood FN62,Trout
199,Glenwood FN63,Trout
200,Glenwood FN64,Trout
201,Glenwood FN65,Trout
202,Glenwood FN66,Trout
203,Glenwood FN67,Trout
204,GREC1,Trout
205,GREC2,Trout
206,GREC3,Trout
207,GREC3,Salmon
208,GREC4,Trout
209,GREC4,Salmon
210,GREC4,Parr
211,GREC5,Trout
212,GREC6,Trout
213,GREC6,Salmon
214,GREC7,Trout
215,GREC8,Trout
216,GREC9,Trout
217,GREC10,Trout
218,GREC11,Trout
219,GREC12,Trout
220,GREC13,Trout
221,GREC14,Trout
222,GREC14,Salmon
223,GREC14,Parr
224,GREC15,Trout
225,Humber Arm1,Trout
226,Humber Arm1,Salmon
227,Humber Arm2,Trout
228,Humber Arm2,Salmon
229,Humber Arm3,Salmon
230,Humber Arm4,Salmon
231,Humber Arm5,Salmon
232,Humber Arm6,Salmon
233,Humber Arm7,Trout
234,Humber Arm7,Salmon
235,Humber Arm8,Trout
236,Humber Arm8,Salmon
237,Humber Arm9,Trout
238,Humber Arm9,Salmon
239,Humber Arm10,Trout
240,Humber Arm10,Salmon
241,Humber Arm11,Trout
242,Humber Arm11,Salmon
243,Humber Arm12,Trout
244,Humber Arm12,Salmon
245,Humber Arm13,Trout
246,Humber Arm13,Salmon
247,Humber Arm14,Trout
248,Humber Arm14,Salmon
249,Humber Arm15,Trout
250,Humber Arm15,Salmon
251,Humber Arm16,Trout
252,Humber Arm16,Salmon
253,Humber Arm17,Trout
254,Humber Arm17,Salmon
255,Humber Arm18,Trout
256,Humber Arm18,Salmon
257,Humber Arm19,Trout
258,Humber Arm19,Salmon
