,GroupId,Group,Group_Full_Name,Region,Type,ENGO caucus participant,CNLCOM participant,DFO project involvement,Website,About
0,group0,ACAPHA,Atlantic Coastal Action Program Humber Arm,Western,ENGO,Y,,4R data meeting Feb 2019,https://oceansadvance.net/member/acap-humber-arm/,"ACAP Humber Arm Inc. is a not-for-profit organization serving the Bay of Islands and Humber Valley coastal regions of western Newfoundland. ...ACAP Humber Arm has established itself as a leader in integrated management. Efforts are concentrated in the areas of: marine water quality, coastal land use planning, environmental education, and ocean technologies"
1,group1,AHOI,Atlantic Healthy Oceans Initiative,Western,ENGO,Y,,4R data meeting Feb 2019,https://www.facebook.com/atlantichealthyoceansinitiative/,A community-led non-profit environmental group that aims to help improve the health of the oceans and sustainability of our coastal communities
2,group2,ASCF,Alantic Salmon Conservation Foundation ,New Brunswick,ENGO,,,,https://www.salmonconservation.ca/,
3,group3,ASF,Atlantic Salmon Federation,Western,ENGO,,,4R data meeting Feb 2019,https://www.asf.ca/,"The Atlantic Salmon Federation is an international conservation organization established in 1948. The Federation is dedicated to the conservation, protection and restoration of wild Atlantic salmon and the ecosystems on which their well being and survival depend."
4,group4,BSGSSG,Bay St. George Salmon Stewardship Group,Western,ENGO,,,,,
5,group5,BSGSN,Bay St. George Sustainability Network,Western,ENGO,,,,,
6,group6,CBSDC,Corner Brook Stream Development Corporation,Western,ENGO,,,,http://www.cbstream.com/,
7,group7,CPAWS-NL,Canadian Parks and Wilderness Scoiety - Newfoundland and Labrador,Eastern,ENGO,Y,,"Coastal Restoration Fund Projects  (R. Van Ingen),4R data meeting Feb 2019",https://cpawsnl.org/,"CPAWS-NL’s mission is to promote the systematic establishment of new terrestrial and marine protected areas and to foster effective governance of existing parks, protected reserves and wilderness areas in the province. For the benefit of present and future generations, we envision the establishment of a representative system of terrestrial and marine protected areas that incorporates the ecological, social and economic values of local communities and recognizes the importance of protected areas and wilderness as an essential part of ecosystems governance and planning."
8,group8,DUCKS,Ducks Unlimited Canada,Eastern,ENGO,Y,,,https://www.ducks.ca/,
9,group9,ERMA,Environment Resources Management Association,Central,ENGO,Y,,Aquatic Connectivity Assessment (R. Van Ingen),https://www.erma.ca/about-us/index.html,"From its early days of developing the Exploits River, Environment Resources Management Association (ERMA), has assembled an experienced group of professionals that have acquired expertise in all areas of planning, completing, operating and monitoring all aspects of freshwater biology programs."
10,group10,FABEC,Freshwater/Alexander Bay Ecosystems Corporation,Central,ENGO,,,Aquatic Connectivity Assessment (R. Van Ingen),http://www.fabec.org/,
11,group11,GREC,Gander River Ecosystems Corporation,Central,ENGO,,,Aquatic Connectivity Assessment (R. Van Ingen),Website not secure,
12,group12,GRLI,Grand Riverkeeper Labrador Inc.,Labrador,ENGO,,,,http://www.grandriverkeeperlabrador.ca/,
13,group13,HRSG,Harrys River Stewardship Group,Western,ENGO,,,,,
14,group14,HWLI,Healthy Waters Labrador Inc.,Labrador,ENGO,,,,"http://www.healthywaterslabrador.ca/home/#:~:text=Healthy%20Waters%20Labrador%20is%20a,Lake%20Melville%20region%20of%20Labrador.",
15,group15,HNHS,Humber Natural History Society,Western,ENGO,,,,https://nlenvironmentnetwork.org/2017/05/03/humber-natural-history-society-hnhs/,
16,group16,IBEC,Indian Bay Ecosystem Corp.,Central,ENGO,Y,,Aquatic Connectivity Assessment (R. Van Ingen),https://indianbayecosystem.com/,"The Indian Bay Ecosystem Corporation is a non-profit community-based environmental organization with the goal of protecting the Indian Bay watershed through research, community engagement, and sound stewardship."
17,group17,LHFA,Labrador Hunting and Fishing Association,Labrador,ENGO,,,,http://www.lhafa.org/home/,
18,group18,NCC,Nature Conservancy Canada,Eastern,ENGO,Y,,,https://www.natureconservancy.ca/en/where-we-work/newfoundland-and-labrador/,"As the only land trust organization in Newfoundland and Labrador, the Nature Conservancy of Canada (NCC) has helped protect 5,600 hectares (over 13,800 acres) of some of the best wilderness in the province. NCC currently owns land in nine project areas across the island. These range from coastal sites that host the East Coast Trail on the Avalon Peninsula to the internationally renowned Grand Codroy Estuary, near Channel-Port aux Basques. In Labrador, NCC created the NL Nature Atlas, an inventory of Labrador’s natural environment to support others with their land use planning. This project is being expanded to include the island of Newfoundland."
19,group19,NNL,Nature NL,Eastern,ENGO,,,,https://naturenl.ca/,
20,group20,NACAP,Northeast Avalon ACAP,Eastern,ENGO,Y,,Aquatic Connectivity Assessment (R. Van Ingen),http://www.naacap.ca/site/,"Northeast Avalon Atlantic Coastal Action Program (NAACAP) is a community advocacy group concerned with the health of our watersheds and coastal areas. Formed in 1992 with the support of Environment Canada under the Atlantic Coastal Action Program, NAACAP has a long history of environmental research, advocacy, and action on issues affecting the quality of our natural resources with a particular emphasis on the watersheds and coastal areas of the Northeast Avalon Region."
