Unnamed: 0,CrossingId,Group,Number,StructureType,CrossingName,Date,RoadName,Latitude,Longitude,Fish Spp,Barriers up/downstream?,Further Assesment Required?,Shape,Material,Diameter (m),Wet width (m),High Water mark (cm),Inlet depth (cm),Outlet depth (cm),Inlet El (m),Outlet El (m),Length (m),Slope (%),Outflow drop (cm),Outflow pool depth (cm),Plunge factor (1.5x),Condition,Notes,DFO Comments,Obstruction?,Sent_to_Reg_Review,Monitoring & Occurences Unit Update,Added to pick list?,Issue,Action Required,geometry,segment_id,dist_meters
0,BSGS1,BSGS,1,Culvert,Rainy Brook Culvert 1,2019-10-17,Rainy Brook rd,48.1244,-58.7844,Trout,Yes,Yes,round,CSP,"1.8 H, 1.9 W",1.2,51,8,26,0.755,0.71,5.3,-0.85,0,37,,good,Water only passes through these culverts during high water levels. The onlet end is driven down due to heavy traffic use. Beaver dam activities downstream. Culvert has negative slope due to the elevated outlet end due to improper installation.,,Maybe,,,NO,,,POINT (-58.7844 48.1244),02YL000-16458,94019.6555336408
1,BSGS2,BSGS,2,Culvert,Rainy Brook Culvert 2,2019-10-23,Cabbage Patch rd,48.0238,-58.771,Trout,Yes,Yes,round,CSP,H: 1.8  W:1.8,1.6,72,15,29,0.89,1.92,13.9,7.41,0,20,,good,"Tributary of Highlands River. Inlet end has rock and sand in inlet. We could not get outflow drop due to not availible here, it flush with bottom of stream. Big difference in elevvation as inlet end of culvert filled up with rock and sand in about a meter. Active stream for trout as we observed great number of trout up stream.",SLOPE LIKELY TO RESULT IN VELOCITY BARRIER,Yes,2020-07-13,,NO,,,POINT (-58.771 48.0238),02YL000-16458,103133.551839032
2,BSGS3,BSGS,3,Culvert,River Brook Culvert 1 (Gus),2019-10-17,TCH,48.44428,-58.3997,"Trout,Salmon",Yes,Yes,round,CSP,"2.4 m H, 2.3m W",2.25m,150,5,79,1.69,2.12,19.186,2.24,0,150,,good,"Beaver activity here made completing accurate assessment a problem. First segment of culvert is separated (opening), raising the inlet and giving a higher elevation.                           Culvert is clearly significantly sloped. Significant presence of fish in culvert and around outlet.",SLOPE MAY RESULT IN VELOCITY BARRIER,Yes,2020-07-13,,NO,,,POINT (-58.3997 48.44428),02YL000-16458,48907.1296954069
3,BSGS4,BSGS,4,Culvert,River Brook Culvert 2,2019-10-17,TCH,48.12374,-58.7845,"Trout,Salmon",no,Yes,round,CSP,1.2,1.06,61,12,20,,,100.68,,0,28,,very poor,Major damage to inlets. Could not obtain elevations due to damage and high water level in outlet.,CULVERT IN VERY POOR CONDITION,Maybe,,,NO,,,POINT (-58.7845 48.12374),02YL000-16458,94085.4948669604
4,BSGS5,BSGS,5,Culvert,Little Crabbes Culvert 1,2019-09-30,TCH,48.19387,-58.79265,"Trout,Salmon",no,No,,CSP/concrete,,,,,,,,,,,,,good,Culvert is backwatered. Concrete bottom.,,No,,,NO,,,POINT (-58.79265 48.19387),02YL000-16458,87966.5849777187
5,BSGS6,BSGS,6,Bridge,Clam Brook Bridge 1,2019-10-01,Clam Brook rd,48.29092,-58.57527,"Trout,Salmon",no,Yes,,,,,,,,,,,,,,,poor,Bridge is fully deteriorated and down in the brook obstructing fish passage. Debris coming down the river is building up and making the issue worse. Several creosote poles on the bridges are a concern for contaminants release into the Brook. No owner/maintainer on road - orphaned.,"WATER IS PASSING UNDER STRUCTURE SO LIKELY FISH ARE TO, BUT FURTHER INVESTIGATION WARRANTED",Yes,2020-02-26,Not assessed other than to add to list of sites that will require field visit whenever COVID situation allows us to do so.,NO,,,POINT (-58.57527 48.29092),02YL000-16458,70116.2679550833
6,BSGS7,BSGS,7,Culvert,Journous Brook Culvert 1,2019-10-18,TCH,48.3552,-58.6531,"Trout,Salmon",no,No,,,,,,,,,,,,,,,good,"Culvert is baffled to allow for fish passage on a steeper slope - no issues with fish passage anticipated, baffles seem to be working well.",,No,,,NO,,,POINT (-58.6531 48.3552),02YL000-16458,67388.0420097541
7,BSGS8,BSGS,8,Culvert,Big Brook Culvert 1,2019-10-18,St Theresa (Main rd),48.377,-58.6531,Trout,no,Yes,round,CSP,1.6,1.2,30,31,24,0.92,1.4,7,6.86,0,66,,good,Both culverts are flush with the bottom - no outflow drop. Good flow of water through for for fish passage. Confirmed water is deeper at inlet than outlet.,SLOPE MAY RESULT IN VELOCITY BARRIER,Yes,2020-07-13,,NO,,,POINT (-58.6531 48.377),02YL000-16458,65480.9611953862
8,BSGS9,BSGS,9,Culvert,Little Fischells Culvert 1,2019-10-18,TCH,48.2952,-58.633,"Trout,Salmon",no,Yes,oval,CSP/concrete,"3.4 H, 3.6 W",2.5,71,13,25,0.86,1.935,51.6,2.08,0,190,,good,"Many trout obsered in area, some passing through culvert. Culvert has a concrete bottom, that is not level - surface is inconsistent - not ideal. Water is very deep at outflow (could not measure).",SLOPE MAY RESULT IN VELOCITY BARRIER,Yes,2020-07-13,,NO,,,POINT (-58.633 48.2952),02YL000-16458,71966.4039805252
9,BSGS10,BSGS,10,Culvert,Little Barachois 1,2019-10-21,TCH Stephenville Access Rd,48.41339,-58.43868,Trout,Yes,Yes,round,CSP,H:1.15  W:1.15,1.1,21,32,31,0.86,1.25,15.789,2.47,0,>100,,good,"Debris blockage in culverts upstream. Two culverts, one active run off. One of the two culverts completely blocked with ground debris. Observed two lovely trout in outlet pool. Pool deeper than one meter.",SLOPE MAY RESULT IN VELOCITY BARRIER AND INLET PARTIALLY BLOCKED,Yes,2020-07-13,,NO,,,POINT (-58.43868 48.41339),02YL000-16458,53289.4436546376
