,RoadId,RoadName
0,road0,Rainy Brook rd
1,road1,Cabbage Patch rd
2,road2,TCH
3,road3,Clam Brook rd
4,road4,St Theresa (Main rd)
5,road5,TCH Stephenville Access Rd
6,road6,Fishchells Road
7,road7,TCH St Georges
8,road8,Newbay Road
9,road9,Musquash
10,road10,Southside Resource Road
11,road11,Gull Pond Resource Road
12,road12,NFLD Trailway (off TCH)
13,road13,Bay D'Espoir Highway
14,road14,Sunday Pond Road
15,road15,Drovers Ridge Rd
16,road16,Crown Ridge Resource Rd
17,road17,Railbed
18,road18,"Railbed, near Grants"
19,road19,Rodney Road
20,road20,Rodney Pond Rd
21,road21,Skin Bridge Rd
22,road22,Camp 10 Rd
23,road23,Riverhead Resource Rd
24,road24,Gambo AND Rd
25,road25,Station Rd
26,road26,Old TCH
27,road27,T'Railway
28,road28,Terra Nova Road Rte 301
29,road29,"Spracklins Road, off 301 leads to gravel pit"
30,road30,"Spracklins Road, off 301"
31,road31,A.N.D. company Resource Road
32,road32,Spracklins Road off Rte 301
33,road33,Bowater's
34,road34,Forestry
35,road35,Forsey Rd
36,road36,Burnt Lake Access rd
37,road37,Glen Eagles
38,road38,16 Road
39,road39,Branch of Bowaters
40,road40,Bowaters
41,road41,Forestry Road
42,road42,Norris Arm North
43,road43,Gander Bay Road
44,road44,Gander Bay
45,road45,Weir's Pond Road
46,road46,Carmanville Rd
47,road47,Burnt Lake Access Road
48,road48,Hughes Brook access rd
49,road49,Rubber Lake access Road
50,road50,"Reidville Rd, Reidville"
51,road51,"Cormack Rd, Cormack"
52,road52,Route 430
53,road53,"Highway Route 422, Veteran's Dr"
54,road54,Tamarack Rd
55,road55,JTB 2016 Trail (NLSF)
56,road56,"Lakeshore Drive, Pasadena"
57,road57,"Main Street, Pasadena"
58,road58,"Bonnell Drive, Pasadena"
59,road59,Community Centre
60,road60,"Midland Row, Pasadena"
61,road61,North Harbour Road
62,road62,Trans Canada Highway (~16km East of Deer Lake)
63,road63,Trans Canada Highway (~17km East of Deer Lake)
64,road64,Incinary Road
65,road65,Highway 420
66,road66,Riverside Road (snowmobile access)
67,road67,Riverside Road
68,road68,Cormack-Hampden Snowmobile trail
69,road69,Ledingham Drive
70,road70,Strawberry Loop
71,road71,Trans Canada Highway
72,road72,Marble Drive
73,road73,Highway 450
74,road74,Snooks Pond Road
75,road75,Rt 320
76,road76,Greenspond rd
77,road77,Route 320
78,road78,Greenspond Road
79,road79,Ponds Lane
80,road80,Anstey's Road
81,road81,Collett Drive
82,road82,Wood's Road off Route 320
83,road83,Main St/Hwy 26
84,road84,Hwy 26
85,road85,Route 330
86,road86,Circular Road
87,road87,Side Road off Route 320
88,road88,Northside Rd
89,road89,Main Street
90,road90,Aspen Cove Road
91,road91,Route 332
92,road92,Branch 37
93,road93,Old Wood Road
94,road94,Rocky Ridge road
95,road95,Greenspond Road (Dirt Road)
96,road96,Ten Mile Pond Branch (Woods Road)
97,road97,Valley Field Branch
98,road98,"Old Road, snowmobile trail"
99,road99,Brook St
100,road100,Trailway
101,road101,Rt 460
102,road102,"White's rd, Rt 460"
103,road103,Black Duck Resource rd
104,road104,"Main St, Gallants"
105,road105,Fox Island Resource Road
106,road106,Bottom Brook Road
107,road107,Scammels Pond rd
108,road108,Hwy 432
109,road109,Camp 2
110,road110,Croque Rd
111,road111,St. Juliens Rd
112,road112,Catch-a-Feeder Rd
113,road113,Camp 18 Rd
114,road114,Goose Cove Rd
115,road115,Hwy 430
116,road116,"Hwy 435, Cook's Harbout Rd"
117,road117,Old Hwy 430
118,road118,Old Airport
119,road119,Tailrace rd
120,road120,Rt 360 - Bay d'Espoir Highway
121,road121,Salt Pit rd
122,road122,Hermitage Rd
123,road123,Coy Pond Rd
124,road124,"Rt 362, Pools Cove"
125,road125,Upper Salmon Access road
126,road126,Conne River Highway
127,road127,Rt 361 Bay d'Espoir
128,road128,Route 363 Boxey
129,road129,Rt 363
130,road130,Conne River
131,road131,Blackhead Road
132,road132,Highway 91
133,road133,Between highway 70 and Salmon Cove Rd
134,road134,Peter's River Rd
135,road135,Highway 10
136,road136,Lower Path
137,road137,Cartwright Junction
138,road138,Cartwright Access Rd
139,road139,Charlottetown Junction
140,road140,Pinsent Arm Junction
141,road141,St. Lewis Junction
142,road142,Trans Labrador Highway
143,road143,Minnesota Drive
144,road144,Conneticut Drive
145,road145,Private property
146,road146,Logger School rd
147,road147,Cold Brook rd
148,road148,Boyds Farm driveway
149,road149,Old Abitibi Railway
150,road150,TCH Route 1
151,road151,Whites Road
152,road152,Route 490
