Effort_Id,DataSetName,SiteName,SiteCode,SiteId,Latitude,Longitude,Date,VolumeFIltered,Sample_Method,Filter size,PrimaryInvestigator,effort_type,Access_Type,Confirmed_Killifish,Group,SubGroup,Technician,Obstruction,Depth,Flow,Other people,RiverName,Measured_with,WaterTemp,DO%,DOmg.L,DO.CH,Sal,C.us.-cm,pH,pH.mV,ORP
deels1,Lab2020eDNA,Trout River,TRR,TRR20-1-N, , ,06-Oct-20,800.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels2,Lab2020eDNA,Trout River,TRR,TRR20-1-L,51.64125999,-56.72186201,06-Oct-20,750.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels3,Lab2020eDNA,Trout River,TRR,TRR20-1-C,51.64134096,-56.721919,06-Oct-20,700.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels4,Lab2020eDNA,Trout River,TRR,TRR20-1-R,51.64133501,-56.72191003,06-Oct-20,700.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels5,Lab2020eDNA,Gilbert River,GIR,GIR20-1-N, , ,07-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels6,Lab2020eDNA,Gilbert River,GIR,GIR20-1-L,52.71115403,-56.32917202,07-Oct-20,600.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels7,Lab2020eDNA,Gilbert River,GIR,GIR20-1-C,52.71099402,-56.329427,07-Oct-20,800.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels8,Lab2020eDNA,Gilbert River,GIR,GIR20-1-R,52.71107197,-56.32894898,07-Oct-20,800.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels9,Lab2020eDNA,Shinny's Brook,SBK,SBK20-1-N, , ,07-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels10,Lab2020eDNA,Shinny's Brook,SBK,SBK20-1-L,52.63240898,-56.42031399,07-Oct-20,680.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels11,Lab2020eDNA,Shinny's Brook,SBK,SBK20-1-C,52.63246698,-56.42040996,07-Oct-20,700.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels12,Lab2020eDNA,Shinny's Brook,SBK,SBK20-1-R,52.63253404,-56.42031399,07-Oct-20,600.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels13,Lab2020eDNA,Shinny's Brook (Dam),SBB,SBB20-2-N, , ,07-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels14,Lab2020eDNA,Shinny's Brook (Dam),SBB,SBB20-2-L,52.632758,-56.421982,07-Oct-20,500.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels15,Lab2020eDNA,Shinny's Brook (Dam),SBB,SBB20-2-C,52.632709,-56.421914,07-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels16,Lab2020eDNA,Shinny's Brook (Dam),SBB,SBB20-2-R,52.632758,-56.421902,07-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels17,Lab2020eDNA,Shinny's Brook (Dam),SBB,SBB20-2-N, , ,07-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels18,Lab2020eDNA,St. Charle's River,STC,STC20-1-L,52.23042204,-55.85540003,08-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels19,Lab2020eDNA,St. Charle's River,STC,STC20-1-C,52.23037996,-55.85577697,08-Oct-20,700.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels20,Lab2020eDNA,St. Charle's River,STC,STC20-1-R,52.23069596,-55.85549802,08-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels21,Lab2020eDNA,St. Charle's River,STC,STC20-1-N, , ,08-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels22,Lab2020eDNA,St.Charle's River (Dam),STB,STB20-2-L,,,08-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels23,Lab2020eDNA,St.Charle's River (Dam),STB,STB20-2-C,,,08-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels24,Lab2020eDNA,St.Charle's River (Dam),STB,STB20-2-R,52.23090903,-55.85541202,08-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels25,Lab2020eDNA,St.Charle's River (Dam),STB,STB20-2-N, , ,08-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels26,Lab2020eDNA,Muddy Bay Brook,MDB,MDB20-1-L,53.61685999,-57.03806897,09-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels27,Lab2020eDNA,Muddy Bay Brook,MDB,MDB20-1-C,53.61623897,-57.03702098,09-Oct-20,900.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels28,Lab2020eDNA,Muddy Bay Brook,MDB,MDB20-1-R,53.61678103,-57.03821599,09-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels29,Lab2020eDNA,Muddy Bay Brook,MDB,MDB20-1-N, , ,09-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels30,Lab2020eDNA,Southwest Brook,SWB,SWB20-1-L,53.42221401,-57.23552196,09-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels31,Lab2020eDNA,Southwest Brook,SWB,SWB20-1-C,53.422184,-57.23534997,09-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels32,Lab2020eDNA,Southwest Brook,SWB,SWB20-1-R,53.42206799,-57.23561802,09-Oct-20,950.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels33,Lab2020eDNA,Southwest Brook,SWB,SWB20-1-N, , ,09-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels34,Lab2020eDNA,St. Mary's River,SMR,SMR20-1-L,52.30534896,-55.83975898,10-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels35,Lab2020eDNA,St. Mary's River,SMR,SMR20-1-C,52.30569203,-55.83978396,10-Oct-20,500.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels36,Lab2020eDNA,St. Mary's River,SMR,SMR20-1-R,52.30566303,-55.83927903,10-Oct-20,500.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels37,Lab2020eDNA,St. Mary's River,SMR,SMR20-1-N, , ,10-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels38,Lab2020eDNA,St. Mary's River,SMR,SMR20-1-L,52.30534896,-55.83975898,10-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels39,Lab2020eDNA,Forteau,FOR,FOR20-1-C,51.50218796,-56.95288603,11-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels40,Lab2020eDNA,Forteau,FOR,FOR20-1-R,51.50221797,-56.95278796,11-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels41,Lab2020eDNA,Forteau,FOR,FOR20-1-N, , ,11-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels42,Lab2020eDNA,Forteau,FOR,FOR20-1-L,51.50212099,-56.95287396,11-Oct-20,700.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels43,Lab2020eDNA,L'Anse Au Loup (Dam),LLD,LLD20-1-C,51.545267,-56.85797003,11-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels44,Lab2020eDNA,L'Anse Au Loup (Dam),LLD,LLD20-1-R,51.545353,-56.85791697,11-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels45,Lab2020eDNA,L'Anse Au Loup (Dam),LLD,LLD20-1-N, , ,11-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels46,Lab2020eDNA,L'Anse Au Loup (Dam),LLD,LLD20-1-L,51.54531604,-56.85794002,11-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels47,Lab2020eDNA,L'Anse Au Loup,LAL,LAL20-2-C,51.54534403,-56.85492598,11-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels48,Lab2020eDNA,L'Anse Au Loup,LAL,LAL20-2-R,51.54527698,-56.85493201,11-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels49,Lab2020eDNA,L'Anse Au Loup,LAL,LAL20-2-N, , ,11-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels50,Lab2020eDNA,L'Anse Au Loup,LAL,LAL20-2-L,51.54542902,-56.85503804,11-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels51,Lab2020eDNA,Pinware River Tributary,PRT,PRT20-1-C,,,12-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels52,Lab2020eDNA,Pinware River Tributary,PRT,PRT20-1-R,,,12-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels53,Lab2020eDNA,Pinware River Tributary,PRT,PRT20-1-N,,,12-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels54,Lab2020eDNA,Pinware River Tributary,PRT,PRT20-1-L,,,12-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels55,Lab2020eDNA,L'anse Amour,LAA,LAA20-1-C,51.47627899,-56.87228699,12-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels56,Lab2020eDNA,L'anse Amour,LAA,LAA20-1-R,51.47625301,-56.87226201,12-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels57,Lab2020eDNA,L'anse Amour,LAA,LAA20-1-N, , ,12-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels58,Lab2020eDNA,L'anse Amour,LAA,LAA20-1-L,51.47630397,-56.87197401,12-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels59,Lab2020eDNA,Small creek before town of pinware,PCC,PCC20-1-C,,,12-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels60,Lab2020eDNA,Small creek before town of pinware,PCC,PCC20-1-R,51.620423,-56.71845099,12-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels61,Lab2020eDNA,Parker's River,PBP,PBP20-1-N, , ,13-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels62,Lab2020eDNA,Parker's River,PBP,PBP20-1-L,51.49701398,-55.73154702,13-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels63,Lab2020eDNA,Parker's River,PBP,PBP20-1-C,51.49701398,-55.73166504,13-Oct-20,900.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels64,Lab2020eDNA,Parker's River,PBP,PBP20-1-R,51.49692002,-55.73159999,13-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels65,Lab2020eDNA,Outardes River,OUR,OUR20-1-N, , ,13-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels66,Lab2020eDNA,Outardes River,OUR,OUR20-1-L,51.48497304,-55.62204097,13-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels67,Lab2020eDNA,Outardes River,OUR,OUR20-1-C,51.48498503,-55.62204097,13-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels68,Lab2020eDNA,Outardes River,OUR,OUR20-1-R,51.48497304,-55.62204097,13-Oct-20,950.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
