,Name,DFO project involvement
0,Sheldon Peddle,4R data meeting Feb 2019
1,Rebecca Burushett,4R data meeting Feb 2019
2,Don Ivany,4R data meeting Feb 2019
3,Tanya Edwards,Coastal Restoration Fund Projects  (R. Van Ingen)
4,Tanya Edwards,4R data meeting Feb 2019
5,Kimberly Thompson,Aquatic Connectivity Assessment (R. Van Ingen)
6,Gilbert Stone,Aquatic Connectivity Assessment (R. Van Ingen)
7,Calvin Francis,Aquatic Connectivity Assessment (R. Van Ingen)
8,Darren Sheppard,Aquatic Connectivity Assessment (R. Van Ingen)
9,Emily Cumming,Aquatic Connectivity Assessment (R. Van Ingen)
10,Victoria Neville,Coastal Restoration Fund Projects  (R. Van Ingen)
11,Victoria Neville,4R data meeting Feb 2019
12,Bobbi Rees,4R data meeting Feb 2019
13,Myron King,4R data meeting Feb 2019
14,Joy Blundon,4R data meeting Feb 2019
15,Tom Brown,Coastal Restoration Fund Projects  (R. Van Ingen)
16,Dr. Rodolphe Devillers,Coral and sponge work
17,George Russell,Aquatic Connectivity Assessment (R. Van Ingen)
18,Todd Broomfield,MPC (J. Janes)
19,Jonathan Strickland,Aquatic Connectivity Assessment (R. Van Ingen)
20,Jonathan Strickland,4R data meeting Feb 2019
21,Ross Hinks,Aquatic Connectivity Assessment (R. Van Ingen)
